Date,GWL
04.01.2010 00:00:00,8
11.01.2010 00:00:00,8.1
18.01.2010 00:00:00,8.2
25.01.2010 00:00:00,8.3
01.02.2010 00:00:00,8.4
08.02.2010 00:00:00,8.5
15.02.2010 00:00:00,8.6
22.02.2010 00:00:00,8.7
01.03.2010 00:00:00,8.8
08.03.2010 00:00:00,8.9
15.03.2010 00:00:00,9
22.03.2010 00:00:00,9.1
29.03.2010 00:00:00,9.2
05.04.2010 00:00:00,9.3
12.04.2010 00:00:00,9.4
19.04.2010 00:00:00,9.5
26.04.2010 00:00:00,9.6
03.05.2010 00:00:00,9.7
10.05.2010 00:00:00,9.8
17.05.2010 00:00:00,9.9
24.05.2010 00:00:00,10
31.05.2010 00:00:00,10.1
07.06.2010 00:00:00,10.2
14.06.2010 00:00:00,10.3
21.06.2010 00:00:00,10.4
28.06.2010 00:00:00,10.5
05.07.2010 00:00:00,10.6
12.07.2010 00:00:00,10.7
19.07.2010 00:00:00,10.8
26.07.2010 00:00:00,10.9
02.08.2010 00:00:00,11
09.08.2010 00:00:00,11.1
16.08.2010 00:00:00,11.2
23.08.2010 00:00:00,11.3
30.08.2010 00:00:00,11.4
06.09.2010 00:00:00,11.5
13.09.2010 00:00:00,11.6
20.09.2010 00:00:00,11.7
27.09.2010 00:00:00,11.8
04.10.2010 00:00:00,11.9
11.10.2010 00:00:00,12
18.10.2010 00:00:00,12.1
25.10.2010 00:00:00,12.2
01.11.2010 00:00:00,12.3
08.11.2010 00:00:00,12.4
15.11.2010 00:00:00,12.5
22.11.2010 00:00:00,12.6
29.11.2010 00:00:00,12.7
06.12.2010 00:00:00,12.8
13.12.2010 00:00:00,12.9
20.12.2010 00:00:00,13
27.12.2010 00:00:00,13.1
03.01.2011 00:00:00,13.2
10.01.2011 00:00:00,13.3
17.01.2011 00:00:00,13.4
24.01.2011 00:00:00,13.5
31.01.2011 00:00:00,13.6
07.02.2011 00:00:00,13.7
14.02.2011 00:00:00,13.8
21.02.2011 00:00:00,13.9
28.02.2011 00:00:00,14
07.03.2011 00:00:00,14.1
14.03.2011 00:00:00,14.2
21.03.2011 00:00:00,14.3
28.03.2011 00:00:00,14.4
04.04.2011 00:00:00,14.5
11.04.2011 00:00:00,14.6
18.04.2011 00:00:00,14.7
25.04.2011 00:00:00,14.8
02.05.2011 00:00:00,14.9
09.05.2011 00:00:00,15
16.05.2011 00:00:00,15.1
23.05.2011 00:00:00,15.2
30.05.2011 00:00:00,15.3
