Date,P,rH,T,Tsin
04.01.2010 00:00:00,10.01,50.01,0.0702380192528156,-8.7483939036822
11.01.2010 00:00:00,10.02,50.02,0.631006714170278,-8.96443512924513
18.01.2010 00:00:00,10.03,50.03,0.182576568195483,-9.05046914054543
25.01.2010 00:00:00,10.04,50.04,0.525603606081914,-9.00524822459506
01.02.2010 00:00:00,10.05,50.05,1.52733958633703,-8.82942820021496
08.02.2010 00:00:00,10.06,50.06,1.48230483296968,-8.52555890699892
15.02.2010 00:00:00,10.07,50.07,1.28747747398347,-8.09804722610862
22.02.2010 00:00:00,10.08,50.08,2.66569976930086,-7.5530931692454
01.03.2010 00:00:00,10.09,50.09,3.72855504653259,-6.89859996262674
08.03.2010 00:00:00,10.1,50.1,4.57085939014813,-6.14405943005374
15.03.2010 00:00:00,10.11,50.11,5.67778483149089,-5.3004143371544
22.03.2010 00:00:00,10.12,50.12,6.34737604318268,-4.3798996933602
29.03.2010 00:00:00,10.13,50.13,7.85787274472439,-3.39586531299878
05.04.2010 00:00:00,10.14,50.14,9.02316314484848,-2.36258220886042
12.04.2010 00:00:00,10.15,50.15,9.10248945959429,-1.29503562611183
19.04.2010 00:00:00,10.16,50.16,10.082133813447,-0.208707717859268
26.04.2010 00:00:00,10.17,50.17,11.3371620723182,0.880646985568096
03.05.2010 00:00:00,10.18,50.18,11.9260112741208,1.9572300575934
10.05.2010 00:00:00,10.19,50.19,12.6001892823009,3.00542829287918
17.05.2010 00:00:00,10.2,50.2,13.7158403914547,4.01004013879518
24.05.2010 00:00:00,10.21,50.21,14.311502342949,4.95649615670755
31.05.2010 00:00:00,10.22,50.22,15.2737423257236,5.83107031608153
07.06.2010 00:00:00,10.23,50.23,16.4123299564768,6.6210790570066
14.06.2010 00:00:00,10.24,50.24,17.3528873086619,7.3150652341765
21.06.2010 00:00:00,10.25,50.25,18.5398774103163,7.90296427484158
28.06.2010 00:00:00,10.26,50.26,19.4068876052078,8.37625014078054
05.07.2010 00:00:00,10.27,50.27,19.8913259146028,8.72805897765625
12.07.2010 00:00:00,10.28,50.28,20.0270633521026,8.95328865842215
19.07.2010 00:00:00,10.29,50.29,20.0788561951944,9.04867277723252
26.07.2010 00:00:00,10.3,50.3,20.0794620781205,9.01282802065013
02.08.2010 00:00:00,10.31,50.31,20.2638340727066,8.84627422922832
09.08.2010 00:00:00,10.32,50.32,19.8056031698823,8.55142685850672
16.08.2010 00:00:00,10.33,50.33,19.0406681391271,8.13256194871919
23.08.2010 00:00:00,10.34,50.34,17.9663627685916,7.59575411129285
30.08.2010 00:00:00,10.35,50.35,17.0951794147199,6.94878843145974
06.09.2010 00:00:00,10.36,50.36,16.4775992750764,6.20104756461736
13.09.2010 00:00:00,10.37,50.37,15.9116719791329,5.36337566389853
20.09.2010 00:00:00,10.38,50.38,14.8243278205614,4.44792111217555
27.09.2010 00:00:00,10.39,50.39,13.5678119528606,3.46796033951206
04.10.2010 00:00:00,10.4,50.4,12.3920632519561,2.43770528097833
11.10.2010 00:00:00,10.41,50.41,11.7655664971023,1.37209726734283
18.10.2010 00:00:00,10.42,50.42,11.3785765381584,0.286590337506504
25.10.2010 00:00:00,10.43,50.43,10.2576440023599,-0.803072884486177
