ID;filters;dense_size;in_seqlength;out_seqlength;batchsize;InputrH;InputT;InputTsin
"BW_1-115-8";256;152;12;12;20;1;0;1
"BW_103-261-4";196;256;52;12;256;0;1;0
"BW_104-114-5";256;99;52;12;16;1;0;1
"BW_104-307-0";207;125;49;12;50;1;0;0
"BW_138-019-0";1;1;52;12;28;0;1;0
"BW_157-260-8";256;253;52;12;122;0;0;0
"BW_1851-305-1";205;51;36;12;49;0;0;1
"BW_710-256-3";256;125;52;12;16;1;1;1
"BW_765-306-3";205;51;36;12;49;0;0;1
"BW_781-304-2";1;1;1;12;256;0;0;1
"HE_11874";218;256;52;12;16;0;1;0
"HE_12905";130;78;1;12;16;0;1;1
"HE_12946";170;152;1;12;16;0;1;1
"HE_13490";240;256;52;12;16;0;1;0
"HE_13518";256;256;52;12;16;0;0;1
"RP_2375118200";256;256;52;12;16;0;1;1
"RP_2375283300";135;170;1;12;16;0;0;0
