ID;filters;dense_size;in_seqlength;out_seqlength;batchsize;InputrH;InputT;InputTsin
"BW_1-115-8";256;256;1;12;16;1;1;1
"BW_103-261-4";54;174;3;12;20;0;0;0
"BW_104-114-5";256;117;52;12;82;0;1;0
"BW_104-307-0";146;134;1;12;16;1;1;1
"BW_138-019-0";115;118;1;12;16;0;0;1
"BW_157-260-8";183;119;52;12;130;0;1;0
"BW_1851-305-1";134;31;1;12;16;1;0;1
"BW_710-256-3";205;51;36;12;49;0;0;1
"BW_765-306-3";256;256;1;12;16;1;1;0
"BW_781-304-2";256;256;1;12;16;0;0;1
"HE_11874";256;256;1;12;16;0;1;0
"HE_12905";256;256;1;12;16;1;1;1
"HE_12946";256;118;1;12;16;1;0;0
"HE_13490";205;51;36;12;49;0;0;1
"HE_13518";256;170;1;12;16;0;0;0
"RP_2375118200";38;78;18;12;16;0;0;1
"RP_2375283300";256;142;1;12;76;0;1;0
