ID;filters;dense_size;seq_length;batchsize;InputrH;InputT;InputTsin
"BW_1-115-8";197;194;52;16;1;1;1
"BW_103-261-4";171;256;52;76;0;0;0
"BW_104-114-5";44;10;22;36;0;1;1
"BW_104-307-0";149;59;52;29;0;1;1
"BW_138-019-0";237;43;38;111;1;0;1
"BW_157-260-8";205;51;36;49;0;0;1
"BW_1851-305-1";256;256;52;16;1;1;1
"BW_710-256-3";38;79;16;21;0;0;0
"BW_765-306-3";38;79;16;21;0;0;0
"BW_781-304-2";16;246;48;20;0;0;0
"HE_11874";203;171;52;16;0;0;0
"HE_12905";98;31;32;16;1;1;1
"HE_12946";256;151;52;16;0;1;0
"HE_13490";256;117;52;16;0;1;1
"HE_13518";180;18;52;16;1;0;1
"RP_2375118200";159;218;27;20;1;0;0
"RP_2375283300";38;79;16;21;0;0;0
