ID;filters;dense_size;seq_length;batchsize;InputrH;InputT;InputTsin
"BW_1-115-8";208;139;1;16;0;1;0
"BW_103-261-4";248;23;1;37;0;0;0
"BW_104-114-5";54;174;3;20;0;0;0
"BW_104-307-0";251;255;7;21;0;0;1
"BW_138-019-0";256;120;1;16;0;1;1
"BW_157-260-8";243;133;1;19;1;0;1
"BW_1851-305-1";256;203;1;16;1;0;0
"BW_710-256-3";54;174;3;20;0;0;0
"BW_765-306-3";38;78;18;16;0;0;1
"BW_781-304-2";255;253;2;48;1;1;0
"HE_11874";158;194;3;16;1;1;0
"HE_12905";54;174;3;20;0;0;0
"HE_12946";230;164;1;16;0;0;1
"HE_13490";248;23;1;37;0;0;0
"HE_13518";78;3;1;16;1;0;1
"RP_2375118200";54;174;3;20;0;0;0
"RP_2375283300";205;256;1;174;1;0;1
