ID;h;in_seqlength;out_seqlength;batchsize;InputrH;InputT;InputTsin
"BW_1-115-8";256;52;12;16;1;0;1
"BW_103-261-4";256;52;12;111;1;0;1
"BW_104-114-5";255;31;12;46;0;0;1
"BW_104-307-0";256;52;12;16;1;0;1
"BW_138-019-0";184;7;12;63;0;0;1
"BW_157-260-8";242;36;12;94;1;0;1
"BW_1851-305-1";181;49;12;37;1;1;0
"BW_710-256-3";196;20;12;40;1;0;1
"BW_765-306-3";78;9;12;16;0;0;0
"BW_781-304-2";115;1;12;252;1;0;1
"HE_11874";224;52;12;16;1;1;1
"HE_12905";256;52;12;16;1;0;1
"HE_12946";256;1;12;16;0;1;1
"HE_13490";255;43;12;18;1;1;1
"HE_13518";166;46;12;16;0;1;1
"RP_2375118200";187;50;12;16;0;1;1
"RP_2375283300";256;1;12;16;1;1;1
