ID;h;in_seqlength;out_seqlength;batchsize;InputrH;InputT;InputTsin
"BW_1-115-8";156;52;12;16;1;1;1
"BW_103-261-4";256;52;12;71;1;0;1
"BW_104-114-5";256;52;12;120;1;0;1
"BW_104-307-0";236;4;12;19;0;1;0
"BW_138-019-0";168;26;12;38;1;1;0
"BW_157-260-8";164;52;12;16;1;0;0
"BW_1851-305-1";78;10;12;16;0;0;1
"BW_710-256-3";155;52;12;46;1;0;0
"BW_765-306-3";130;51;12;19;0;1;0
"BW_781-304-2";78;10;12;16;0;0;1
"HE_11874";193;1;12;16;1;0;1
"HE_12905";165;1;12;16;0;0;1
"HE_12946";89;1;12;16;1;1;0
"HE_13490";154;52;12;16;1;1;1
"HE_13518";150;1;12;16;1;1;0
"RP_2375118200";206;48;12;49;0;1;0
"RP_2375283300";228;1;12;28;1;0;0
