ID;h;seq_length;batchsize;InputrH;InputT;InputTsin
"BW_1-115-8";256;52;16;0;0;1
"BW_103-261-4";143;41;116;0;0;1
"BW_104-114-5";154;52;16;1;0;0
"BW_104-307-0";74;51;18;1;1;0
"BW_138-019-0";1;1;148;0;0;0
"BW_157-260-8";187;52;16;0;0;1
"BW_1851-305-1";183;28;244;1;0;1
"BW_710-256-3";115;15;40;0;0;1
"BW_765-306-3";78;10;16;0;0;1
"BW_781-304-2";36;1;256;0;1;0
"HE_11874";256;52;16;1;0;1
"HE_12905";256;52;16;0;1;1
"HE_12946";210;51;20;0;1;1
"HE_13490";255;51;73;0;1;0
"HE_13518";212;51;16;0;1;0
"RP_2375118200";115;24;16;1;0;0
"RP_2375283300";256;52;16;0;1;1
