ID;h;seq_length;batchsize;InputrH;InputT;InputTsin
"BW_1-115-8";256;1;16;0;1;0
"BW_103-261-4";254;2;98;1;1;1
"BW_104-114-5";69;51;17;0;1;0
"BW_104-307-0";106;1;16;1;1;0
"BW_138-019-0";256;1;16;1;0;1
"BW_157-260-8";256;1;16;0;0;1
"BW_1851-305-1";213;1;16;1;0;0
"BW_710-256-3";159;15;16;1;0;1
"BW_765-306-3";78;10;16;0;0;1
"BW_781-304-2";194;1;16;0;1;1
"HE_11874";256;1;16;1;0;1
"HE_12905";256;1;16;0;1;1
"HE_12946";256;1;16;1;0;1
"HE_13490";256;1;16;0;0;1
"HE_13518";136;1;16;1;1;1
"RP_2375118200";78;10;16;0;0;1
"RP_2375283300";232;2;39;1;0;0
