ID;h;InputrH;InputT;InputTsin;ID_P;ID_rH;ID_T;ID_Tsin;FDmax;Trainingstart
"BW_1-115-8";2;0;1;1;1;NaN;11;9;9;NaN
"BW_103-261-4";17;0;1;1;1;NaN;1;4;3;NaN
"BW_104-114-5";4;0;1;1;2;NaN;10;5;12;NaN
"BW_104-307-0";17;1;0;0;11;11;NaN;NaN;5;NaN
"BW_138-019-0";1;0;0;0;8;NaN;NaN;NaN;2;NaN
"BW_157-260-8";20;1;1;0;10;2;1;NaN;3;NaN
"BW_1851-305-1";6;0;1;1;5;NaN;2;7;12;NaN
"BW_710-256-3";20;1;0;0;12;4;NaN;NaN;1;NaN
"BW_765-306-3";19;0;1;1;2;NaN;7;7;2;NaN
"BW_781-304-2";17;1;0;0;11;11;NaN;NaN;5;NaN
"HE_11874";8;1;1;1;10;8;12;5;12;NaN
"HE_12905";11;1;1;1;11;12;2;2;1;NaN
"HE_12946";18;1;1;0;12;11;4;NaN;12;NaN
"HE_13490";20;1;0;0;12;8;NaN;NaN;3;NaN
"HE_13518";17;1;0;0;11;11;NaN;NaN;5;NaN
"RP_2375118200";2;1;1;1;10;11;4;12;12;NaN
"RP_2375283300";4;1;0;0;8;4;NaN;NaN;3;NaN
