ID;h;InputrH;InputT;InputTsin;ID_P;ID_rH;ID_T;ID_Tsin;ID_GWLshift;FDmax;Trainingstart
"BW_1-115-8";1;0;1;1;9;NaN;8;7;2;3;NaN
"BW_103-261-4";7;1;0;1;6;11;NaN;3;8;2;NaN
"BW_104-114-5";1;0;1;1;5;NaN;10;11;11;7;NaN
"BW_104-307-0";19;0;1;0;12;NaN;1;NaN;12;2;NaN
"BW_138-019-0";8;1;0;0;9;2;NaN;NaN;2;6;NaN
"BW_157-260-8";2;1;1;1;2;3;11;4;1;1;NaN
"BW_1851-305-1";17;1;1;0;10;10;5;NaN;2;6;NaN
"BW_710-256-3";20;1;0;0;8;1;NaN;NaN;12;7;NaN
"BW_765-306-3";5;0;1;1;3;NaN;3;7;5;9;NaN
"BW_781-304-2";20;1;0;0;9;3;NaN;NaN;1;7;NaN
"HE_11874";20;0;1;0;12;NaN;7;NaN;9;12;NaN
"HE_12905";4;0;1;1;8;NaN;9;7;8;9;NaN
"HE_12946";17;0;0;0;1;NaN;NaN;NaN;11;12;NaN
"HE_13490";6;1;0;1;2;2;NaN;12;6;9;NaN
"HE_13518";1;0;1;1;12;NaN;1;7;10;12;NaN
"RP_2375118200";2;0;1;0;7;NaN;11;NaN;10;2;NaN
"RP_2375283300";1;1;0;0;12;6;NaN;NaN;2;1;NaN
