ID;h;InputrH;InputT;InputTsin;ID_P;ID_rH;ID_T;ID_Tsin;FDmax;Trainingstart
"BW_1-115-8";1;0;1;1;52;NaN;3;29;47;NaN
"BW_103-261-4";18;1;1;0;12;3;52;NaN;39;NaN
"BW_104-114-5";2;1;1;1;40;35;52;2;52;NaN
"BW_104-307-0";15;1;1;1;52;52;26;5;38;NaN
"BW_138-019-0";6;0;1;1;20;NaN;5;31;51;NaN
"BW_157-260-8";14;1;1;1;52;44;51;42;13;NaN
"BW_1851-305-1";16;1;1;1;28;19;2;37;44;NaN
"BW_710-256-3";18;0;0;1;25;NaN;NaN;49;4;NaN
"BW_765-306-3";17;1;0;1;18;51;NaN;46;33;NaN
"BW_781-304-2";10;1;1;0;41;40;52;NaN;38;NaN
"HE_11874";18;0;0;1;37;NaN;NaN;49;47;NaN
"HE_12905";9;1;0;1;5;2;NaN;17;4;NaN
"HE_12946";7;1;0;0;44;47;NaN;NaN;45;NaN
"HE_13490";17;1;0;0;48;48;NaN;NaN;21;NaN
"HE_13518";20;1;0;0;52;32;NaN;NaN;10;NaN
"RP_2375118200";17;1;0;0;48;48;NaN;NaN;21;NaN
"RP_2375283300";8;1;1;1;11;21;47;25;4;NaN
