ID;h;InputrH;InputT;InputTsin;ID_P;ID_rH;ID_T;ID_Tsin;ID_GWLshift;FDmax;Trainingstart
"BW_1-115-8";1;0;1;0;26;NaN;7;NaN;2;17;NaN
"BW_103-261-4";3;0;1;0;25;NaN;7;NaN;33;50;NaN
"BW_104-114-5";1;1;0;1;3;44;NaN;30;13;2;NaN
"BW_104-307-0";2;1;1;0;20;2;28;NaN;14;9;NaN
"BW_138-019-0";11;0;1;1;1;NaN;3;7;47;12;NaN
"BW_157-260-8";1;0;1;1;19;NaN;18;7;3;1;NaN
"BW_1851-305-1";1;0;1;0;12;NaN;26;NaN;5;14;NaN
"BW_710-256-3";2;0;0;1;3;NaN;NaN;35;5;3;NaN
"BW_765-306-3";2;0;0;1;33;NaN;NaN;1;2;17;NaN
"BW_781-304-2";1;0;0;1;51;NaN;NaN;7;1;29;NaN
"HE_11874";4;0;0;1;2;NaN;NaN;27;15;3;NaN
"HE_12905";1;1;1;0;18;7;21;NaN;30;1;NaN
"HE_12946";1;1;0;0;2;16;NaN;NaN;3;12;NaN
"HE_13490";13;1;0;1;5;9;NaN;52;35;1;NaN
"HE_13518";1;1;1;1;4;22;10;14;1;9;NaN
"RP_2375118200";7;0;1;1;7;NaN;28;38;7;8;NaN
"RP_2375283300";1;0;0;1;43;NaN;NaN;50;35;1;NaN
